name,energy,protein,fat,saturates,carbohydrate,sugars,fibre,salt
Smokey_BBQ_chicken,990kj 1445kj 237kcal 346kcal,23.1g,12.6g,4.9g,7.5g,6.7g,0.5g,0.51g
Cherios_cereal,378kcal,9.9g,4.8g,0.9g,69.1g,17.7g,9.6g,0.80g
original-rye-crispbread-rivercote,1511kj/357kcal,9.8g,0.9g,0.2g,71.2g,2.3g,12.6g,0.55g
Lidl_Sliced_Irish_mild_RedCheddar,314kcal,27.9g,22.1g,13.8g,0.8g,0.1g,,1.80g
Tesco_speghatti_bolognese,550kj/131kcal,6.4g,4.9g,1.8g,14.4g,2.1g,1.8g,0.39g
Lidl_Omega3_fish,889kj/212kcal,12.9g,9.1g,1.7g,19.0g,,1.3g,0.78g
oats5,1529kj,10.5g,,0.8g,,13.3g,8.5g,0.03g
Lidl_Deluxe_Berries&Cherries_Museli,1423kj/336kcal,5.8g,1.8g,0.4g,71.0g,38.3g,6.3g,0.2g
cheese8,1180kj 354kj 284kcal 85kcal,21.0g,22.0g,16.0g,0.5g,0.5g,0.0g,1.50g
ham4,512kj 121kcal,24.4g,1.7g,0.6g,1.9g,0.3g,0.4g,
Lidl_Vol-du-vent_golden_bake,1664kj/400kcal,6.3g,27.2g,13.5g,,0.2g,,0.49g
ham6,554kj 131kcal,25.4g,2.6g,0.9g,1.5g,1.5g,0.0g,1.8g
Potato_Cooked_Beef,,1.3g,,0.5g,,8.7g,0.8g,
cheese18,1618kj,,,,,0.1g,,1.7g
Lidl_Kellog's_Corn_Flakes,,,,,,,,
Lidk_Frozen_Fish_Fillets,898kj,0.77g,9.6g,0.6g,22.0g,1.6g,9.2g,
flame-baked-wild-garlic-flatbreads-tesco,273kcal,9.6g,4.1g,0.4g,,2.5g,3.2g,0.79g
Lamb_shanks_gravy,703kj 1876kj 168kcal 449kcal,17.9g,9.0g,3.5g,3.6g,2.5g,0.5g,0.31g
bread11,226kcal,9.5g,1.6g,0.3g,40.8g,2.9g,5.6g,0.90g
greek-yogurt-0-fat-dunnes-stores,273kj 341kj 64kcal 80kcal,,0.3g,0.2g,5.4g,5.2g,,0.25g
ice_cream9,278kj 66kcal,0.4g,0.2g,0.1g,15.2g,14.2g,0.6g,<0.1g
Aldi_Curry_Paste_1,530kj/128kcal,1.8g,11.2g,,4.2g,2.9g,1.7g,0.95g
Lidl_Cooked_marinatedChickenBreast_GarlicLemon,611kj,,5.9g,,,3.7g,,1.9g
Tesco_Mackerel_fillet_brine,892kj 392kj 214kcal 94kcal,18.3g,15.7g,4.2g,<0.1g,<0.1g,<0.1g,0.8g
berry-cherry-muesli-tesco,1474kj 737kj 349kcal 174kcal,8.3g,4.1g,0.7g,66.3g,25.2g,6.7g,0.1g
Aldi_Irish_Chicken_burgers,1141kj/274kcal,20.5g,19.3g,8.9g,3.9g,0.4g,1.5g,0.77g
Nakd_raw_fruit&nut_bar_Blue,367kcal,6.5g,11.5g,2.2g,56.6g,,5.3g,0.45g
Lidl_Cookie_biscuit__Original,2116kj,6.5g,26.7g,14.2g,58.7g,31.9g,2.4g,0.66g
Lidl_golden_bake_ham&cheese,1162kj/279kcal,7.4g,18.1g,8.9g,,1.7g,,1.0g
Lidl_Crownfield_MuseliBar_CocoaButter,1638kj/389kcal,3.6g,11.0g,7.1g,66.0g,35.0g,6.0g,0.09g
fusilli-roma,1498kj 8400kj 353kcal 2000kcal,12.1g,1.0g,0.4g,72.4g,2.0g,3.0g,
Tesco_Tuna_brisling_sardines_coriander,1155kj 1212kj 278kcal 292kcal,17.7g,22.6g,5.4g,0.6g,0.2g,0.9g,0.7g
Aldi_Frozen_PlantBased_Tikki,1109kj/265kcal,6.7g,13.4g,1.0g,26.9g,3.2g,5.3g,1.09g
ice_cream8,,,,,,,,
bread10,1166kj 874kj 275kcal 206kcal,9.9g,2.0g,0.3g,52.9g,0.4g,3.0g,
Lidl_broccoli_frozen,143kj,3.3g,0.5g,0.1g,2.7g,1.6g,2.8g,0.02g
Lidl_Cookie_biscuit_milkChocolate,2089kj,6.1g,25.7g,13.3g,59.79,29.3g,2.4g,0.70g
cream_biscuit1,247kj,5.7g,,12.8g,70.1g,28.3g,1.1g,0.5g
oats6,359kcal,,5.2g,1.4g,,,5.3g,<0.01g
Diced_Chicken_fillets,487kj,,,,,,,
Aldi_Puff_Pastry,2313kj/555kcal,9.3g,34.4g,13.6g,51.2g,2.3g,1.7g,0.48g
wholemale-pita-bread,1076kj/254kcal,,0.9g,,,,,0.53g
Lidl_breaded_chicken_fillet,954kj,11.9g,9.5g,3.0g,13.49,0.8g,1.2g,0.75g
ham7,427kj,20.0g,2.4g,0.8g,1.29,1.2g,0.6g,1.6g
cheese19,1725kj 517kj 416kcal 125kcal,25.4g,34.9g,21.7g,0.1g,0.1g,0.0g,1.8g
Lidl_TowerGate_Cookie_Hazelnut,517kcal,5.8g,27.7g,12.6g,59.5g,40.2g,3.3g,0.62g
Philadelphia_cheese_3,,,,,,,,1.5g
fillets-with-garlic-and-red-pepper-marinade-tesco,488kj 610kj 116kcal 145kcal,18.3g,4.3g,0.6g,0.8g,0.8g,0.5g,0.7g
puffpastry1,2015kj/483kcal,7.2g,30.9g,14.6g,43.1g,1.8g,2.0g,0.51g
strawberry_apple_snackroll,393kcal,0.2g,8.0g,,,,2.0g,0.13g
Tesco_omega3_Tuna,,,,,0.0g,,0.0g,1.0g
jalepenos1,71kj,,0.2g,0.1g,1.4g,,2.5g,2.499
Lidl_Haddock_fillets,1076kj/257kcal,13.5g,10.5g,0.9g,26.2g,1.8g,1.4g,0.66g
fruit_juice6,199kj 298kj 47kcal 70kcal,0.5g,<0.1g,<0.1g,10.5g,10.5g,<0.1g,<0.01g
roast-chicken-pieces-dunnes-stores,121kcal,,1.4g,0.5g,1.1g,<0.5g,,0.68g
Tomato_green_pepper_noodles,380kj/90kcal,3.1g,0.2g,0.1g,18.0g,3.0g,1.5g,0.53g
Tesco_Stonebaked_Pizza_NonVeg_1,2329kj,10.9g,8.4g,6.4g,28.0g,2.3g,1.3g,0.80g
goji_seeds,1304kj 309kcal,10.5g,3.2g,1.5g,55.1g,52.6g,8.8g,1.4g
butter5,,<0.5g,,,<0.5g,<0.5g,,
lentil_french_lidl,478kj,6.8g,2.7g,0.4g,13.3g,1.9g,4.6g,0.30g
diced-chicken-breasts-lidl,106kcal,24.0g,,0.3g,<0.19,,,0.15g
Lidl_Packed_Soya&Wheat_Meal,674kj,19.0g,5.5g,0.5g,6.3g,1.3g,4.8g,1.549
Tesco_Veg_Meal,1200kj/287kcal,7.5g,16.4g,4.3g,26.5g,2.2g,2.1g,0.62g
Lidl_Omega3_FishFrozen,849kj,0.67g,,1.1g,,1.1g,,
milk4,,5.4g,1.0g,0.6g,4.8g,4.8g,,
bread1,278kcal,10.0g,6.6g,0.6g,42.0g,,,0.88g
Lidl_PotatoWaffle_harvestBasket,856kj,2.4g,9.5g,1.0g,25.8g,0.5g,3.1g,0.55g
Salted_caramel_proteinballs,311kcal,,3.7g,0.9g,,,8.8g,0.7g
bunsters-hot-dog-rolls,2000kcal,8.3g,3.5g,1.0g,51.0g,7.6g,2.0g,0.9g
milk5,,5.4g,1.0g,0.6g,4.8g,4.8g,,0.11g
Tesco_toastedcrisp_rice_cereal,487kj,6.9g,2.9g,1.5g,81.0g,21.2g,2.6g,0.5g
Tesco_cookies,1086kj/261kcal,8.1g,,7.5g,,,,0.77g
Crafty_Chef_PiriPiri_Pork,1096kj/263kcal,19.8g,16.5g,,8.3g,4.6g,1.0g,0.98g
Rice_Chicek_curry,,1.0g,2.0g,10.9g,,9.7g,0.75g,
wheats-kellogg-s,381kcal,9.5g,1.7g,0.4g,,,,
butter4,,<0.5g,,,<0.5g,<0.5g,,
GlutenFree_butter_cookies,2031kj/485kcal,7.2g,22.1g,13.2g,63.2g,36.4g,2.1g,0.90g
Aldi_Irish_beef_dinner,489kj/117kcal,7.5g,4.3g,1.9g,11.1g,1.9g,1.5g,0.35g
fruit_juice7,76kj 18kcal,0.9g,0.0g,0.0g,3.5g,2.7g,0.2g,0.4g
red-lasagne-sauce-baresa,50kcal,1.0g,0.1g,0.1g,10.7g,7.1g,1.1g,0.90g
pork6,1600kj 386kcal,23.5g,31.6g,11.4g,1.2g,0.9g,1.7g,3.6g
Philadelphia_Cheese_2,,,,,5.2g,5.1g,0.3g,7.4g
Lidl_CocoaFood_OatBites_Rasins_currants,1666kj,5.9g,,4.4g,67.2g,35.3g,5.6g,0.34g
Lidl_White_sauce_dry_mix,318kj,3.9g,2.2g,,9.8g,5.9g,0.5g,0.62g
fruit_juice5,198kj 297kj 47kcal 70kcal,0.1g,<0.1g,<0.1g,11.1g,11.1g,<0.1g,<0.01g
Lidl_vermondo_veg_sausager,1317kj,11.6g,17.0g,6.4g,27.2g,2.1g,3.6g,1.30g
cauliflower-dhal,378kj/90kcal,3.8g,,1.1g,11.9g,2.6g,3.2g,0.35g
Pizza_dough,1316kj/311kcal,9.0g,,0.7g,58.9g,2.6g,2.4g,0.94g
Tesco_Stonebaked_Pizza_NonVeg_2,231kcal,9.8g,7.8g,4.3g,29.1g,3.8g,2.6g,0.73g
griego-natural-light-milbona,372kj,6.0g,,1.4g,4.0g,4.0g,<0.5g,0.13g
Lidl_Ham_Pizza,265kcal,11.4g,11.5g,5.1g,28.0g,2.9g,1.8g,0.97g
Tesco_FreeForm_JanTart,1746kj/416kcal,1.8g,16.7g,8.0g,63.9g,23.9g,1.4g,0.17g
butter6,1036kj/252kcal,<0.5g,,7.4g,<0.5g,<0.5g,,1.2g
tagliatelle-pasta-tesco,748kj 1271kj 176kcal 300kcal,0.1g,0.7g,,,1.1g,5.8g,
Lidl_sliced_mushroom,61kj,2.5g,0.2g,,0.3g,0.3g,0.7g,0.01g
Lidl_Chicken_pizza,1036kj,,7.2g,3.3g,34.9g,6.8g,1.2g,9.8g
Lidl_TowerGate_Biscuit_DarkChoco,114kj/27kcal,8.1g,23.4g,3.5g,61.7g,2.3g,2.8g,1.10g
GlutenFree_Wholegrain_Oats_2,1922kj 110kj 459kcal 26kcal,10.8g,18.9g,7.3g,57.6g,1.7g,7.5g,1.69g
Lidl_Crackers_2,1511kj,9.8g,0.9g,0.2g,71.2g,2.3g,12.6g,0.55g
utternut-almond-pecan-nut-roast-marks-spencer-food,2000kcal,4.0g,5.9g,0.6g,18.8g,7.1g,4.5g,0.65g
milk7,171kj,,,,,,,
butter10,456kcal,,,,1.3g,,,
bread2,256kcal,,,,46.49,3.4g,,1.03g
brown_sugar1,1671kj/393kcal,,,,98.19,,,
bread3,2000kcal,10.1g,1.2g,0.3g,39.0g,2.9g,6.4g,1.1g
milk6,267kj/64kcal,3.4g,3.5g,2.2g,4.7g,4.7g,,0.11g
Rice1,529kj/125kcal,2.8g,0.7g,0.2g,26.5g,,0.6g,0.01g
cornflour1,,0.03g,0.1g,92.0g,,,0.6g,
Lidl_Crackers_3,1990kj/474kcal,5.5g,19.0g,10.0g,68.8g,,3.0g,0.40g
protein-vanilla-yoghurt,63kcal,,,0.3g,4.7g,4.1g,,
Lidl_TowerGate_Biscuit_WhiteChoco,1911kj,10.3g,18.8g,6.8g,56.9g,0.6g,9.1g,1.29g
butter7,2599kj/632kcal,<0.5g,,,,0.5g,,1.3g
Tesco_Tomato_Basil_falafel,855kj/205kcal,6.7g,8.6g,0.6g,21.2g,4.5g,7.5g,0.88g
Tesco_Stonebaked_Pizza_NonVeg_3,212kcal,10.1g,6.3g,3.1g,27.3g,4.1g,2.8g,0.69g
toastie-johnston-mooney-o-brien,,,1.0g,,,3.1g,,1.19
Tesco_packedChicken,,12.1g,1.4g,,12.0g,0.0g,2.5g,0.6g
tortilla-wraps-wholemeal-village-bakery,1169kj/277kcal,,4.8g,,2.1g,,,3.2g
veggie-sausages,255kcal,7.2g,13.2g,1.0g,31.0g,1.5g,8.0g,1.17g
fruit_juice4,42kcal,<0.5g,<0.5g,,,,<0.5g,<0.01g
multigrain-meteors-tesco,1635kj,10.9g,,1.0g,73.3g,,6.1g,0.2g
wild-and-parsley-sausages,726kj 436kj 174kcal 104kcal,12.0g,9.0g,2.0g,9.0g,1.0g,4.5g,1.0g
fruit-nut-muesli-dunnes-stores,1616kj,,8.2g,,,,8.3g,0.02g
pork5,1522kj/367kcal,27.0g,28.5g,10.1g,0.5g,0.5g,0.0g,4.3g
strawberry_fruitpieces,1965kj/468kcal,2.0g,18.9g,15.8g,72.0g,61.9g,0.9g,0.3g
pork1,1043kj 167kj 250kcal 40kcal,30.1g,13.7g,4.9g,0.9g,0.9g,1.0g,4.6g
mayonise1,639kj/154kcal,6.9g,,0.8g,3.9g,2.4g,3.2g,5.0g
Lidl_chicken_nuggets,769kj,14.9g,8.1g,1.2g,12.3g,2.4g,0.9g,0.68g
Tesco_cooked_paneerMeal,262kcal,,,,,,,
super-nutty-granola-tesco-finest,461kcal,12.4g,18.5g,2.3g,58.0g,14.7g,6.4g,0.2g
quick-oats,1506kj,,,,,,6.3g,0.1g
Lidl_Milbona_profiteroles_dessert_2,351kcal,3.5g,14.3g,9.2g,51.2g,21.2g,1.8g,0.46g
Tesco_FreeForm_AngelSlices,439kcal,2.8g,20.0g,5.3g,61.9g,47.3g,0.5g,0.25g
fish-fillets,196kcal,,8.3g,1.1g,,0.6g,1.0g,0.57g
Aldi_Golden_BreadCrumbs_Cheese_Fingers,881kj,12.4g,0.7g,,20.8g,,,0.48g
butter3,,<0.5g,,,,0.8g,,1.0g
porridge-oatflakes-odlums,,,,,,,,
turkey-breast,123kcal,27.3g,1.5g,0.6g,,<0.1g,<0.5g,1.1g
Aldi_Pepperoni_MildCheddar_Pizza 2,1056kj/252kcal,11.6g,10.2g,4.4g,27.0g,3.5g,2.8g,1.16g
milk2,270kj/65kcal,3.4g,3.5g,2.2g,4.8g,4.6g,,0.1g
Lidl_PotatoBites,,2.0g,9.1g,1.5g,26.5g,0.5g,,0.8g
yoghurt-irish-yoghurt-clonakilty,,,,,6.99,,,
bread7,,,,0.4g,,2.4g,8.7g,1.1g
bread6,963kj/228kcal,1.1g,,0.2g,,2.5g,,
british-skimmed-milk-dairy-manor,149kj/35kcal,3.4g,<0.1g,<0.1g,4.9g,4.9g,<0.5g,0.11g
Lidl_HoneyNut_Clusters,1833kj/436kcal,0.83g,13.0g,1.5g,17.2g,5.8g,9.5g,
Lidl_Custard_Cream_Biscuit,477kcal,5.8g,,,,,5.0g,0.6g
flaked-almonds-aldi,2600kj/629kcal,,,4.4g,6.9g,,7.4g,0.04g
milk3,64kcal,3.4g,3.5g,2.2g,4.7g,4.7g,,0.11g
Aldi_chocolate_flavoured_icecream,1417kj/339kcal,4.1g,17.8g,15.0g,39.6g,26.0g,2.0g,0.14g
vegan-bacon-lettuce-tomato,189kcal,5.8g,8.8g,0.8g,,4.1g,2.0g,0.5g
Lidl_YellowRice_Chicken_Breast,,9.7g,,2.0g,,1.2g,1.0g,0.75g
Tesco_rice_cake,393kcal,,3.2g,0.9g,81.7g,0.5g,3.1g,7.8g
butter2,2391kj 239kj 581kcal 58kcal,0.1g,64.1g,20.9g,1.0g,1.0g,0.0g,1.4g
Branwell's_pasta_sauce_,116kcal,4.7g,1.4g,0.9g,20.5g,2.3g,1.3g,0.42g
cauliflower-rice-four-seasons-gourmet-foods,51kcal,2.3g,3.9g,0.3g,4.49,3.3g,3.3g,0.40g
Lidl_Milbona_profiteroles_dessert_3,1154kj,4.5g,,9.3g,36.6g,18.0g,2.3g,0.30g
fruit_juice1,176kj/41kcal,,,,,,,
butter-beans-bunalin-organic,285kj/68kcal,4.3g,0.0g,,9.1g,0.0g,4.8g,0.35g
wholemeal-wraps-dunnes-stores,1141kj 525kj 270kcal 124kcal,,1.5g,0.3g,,3.0g,5.9g,0.60g
Lidl_Deluxe_ReallyNutty_Museli,1612kj/383kcal,4.2g,9.5g,0.7g,27.5g,8.6g,3.4g,0.03g
pork2,707kj 169kcal,19.0g,10.0g,4.2g,0.8g,0.8g,0.0g,2.5g
Lidl_Quorn_mince,384kj,,,,,,,
fruit_juice3,40kcal,,,,,,,
nutrition_en.209.400,,,,,,,,
chocolat1,2101kj/502kcal,6.9g,24.3g,13.8g,62.5g,49.6g,2.3g,0.22g
Lidl_Goodfellas_Pepperoni_pizza_Veg,243kcal,1.2g,,5.0g,1.2g,3.5g,,
paneer1,1027kj 308kj 247kcal 74kcal,16.7g,17.5g,10.9g,5.3g,2.8g,0.6g,1.0g
Lidl_Caramel_Waffle,1933kj/461kcal,3.6g,20.8g,14.0g,64.5g,34.2g,0.7g,0.63g
Lidl_Crownfield_bf_biscuit_chocolate,2027kj,7.0g,20.5g,9.0g,65.5g,29.5g,4.5g,0.52g
Toasted_Corn_flakes,1641kj 492kj 387kcal 116kcal,,1.2g,0.3g,85.2g,6.1g,2.5g,0.6g
Branwell's_white_sauce,477kj,,,,,,,22.39
beef1,555kj,25.3g,3.0g,1.1g,0.8g,0.8g,<0.1g,1.3g
tomato-ketchup,252kj/60kcal,1.8g,<0.5g,<0.1g,,8.7g,2.0g,0.69g
grains-of-life,297kcal,13.3g,8.3g,,,,5.3g,1.0g
milk1,197kj 393kj 47kcal 93kcal,3.5g,1.5g,1.1g,4.8g,4.8g,,0.10g
chicken-breast,122kcal,0.5g,2.1g,0.8g,,,,<0.5g
katie-s-kombucha,,0.3g,<0.1g,<0.1g,6.0g,6.0g,,
choco-hoops-harvest-morn,1509kj/357kcal,8.2g,1.7g,0.3g,71.0g,17.1g,12.2g,0.17g
country-veg-soup-aldi,125kj,0.7g,0.8g,0.6g,4.5g,2.4g,0.9g,0.63g
Lemon_protein_flabjack,1927kj 964kj 460kcal 230kcal,,,9.1g,,,3.5g,0.63g
chicken-korma-with-rice,677kj/161kcal,8.3g,6.2g,1.8g,17.0g,1.6g,2.4g,0.66g
bread5,216kcal,10.2g,1.4g,0.34g,,2.4g,6.5g,1.1g
chocoa_powder,1476kj/357kcal,,20.7g,12.5g,8.7g,0.5g,28.2g,0.08g
Lidl_4_seasoned_Irish_beef,1135kj/274kcal,17.4g,22.5g,9.4g,0.4g,0.4g,,0.75g
Lidl_Mix_carrot_peas_sweetcorn,210kj/50kcal,0.3g,0.3g,0.1g,8.2g,5.0g,,
mccambridge-spelt-bread-500g,,,1.43g,0.29g,,2.34g,,1.7g
butter1,2229kj 221kj 542kcal 54kcal,<0.5g,59.5g,15.7g,1.2g,1.2g,0.0g,1.3g
Lidl_Cookie_biscuit_White,2104kj,5.6g,26.4g,13.8g,59.8g,29.5g,1.9g,0.70g
Lidl_Alaska_Pollock_Fillets,302kj,16.0g,,0.1g,,,,0.25g
italian-tagliatelle-fresh-egg-pasta-supervalu,280kcal,8.7g,1.8g,,,,2.7g,0.10g
spinach-and-ricotta-tortelloni-tesco,798kj,0.6g,,,,,7.4g,
WholeWheat_Fusilli_pasta_smokedHam,526kj/125kcal,9.3g,2.8g,1.4g,,1.6g,,0.549
battered-chicken-balls-aldi-roosters,769kj/183kcal,16.1g,6.8g,0.8g,13.9g,0.5g,1.0g,0.78g
fruit_juice2,188kj,0.5g,,,,9.5g,0.3g,
Lidl_Sliced_Irish_Mature_WhiteCheese,314kcal,27.9g,22.1g,13.8g,0.80,,,1.80g
pork3,1388kj 335kcal,18.0g,29.0g,9.5g,0.5g,0.5g,0.0g,3.40g
